RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,Joel Embiid,C,53.0,35.1,33.4,11.1,20.5,53.9,1.1,3.0,36.0,10.2,11.9,85.4,10.1,4.1,1.1,1.6,3.5,33.0,1.0
2,Luka Doncic,PG,57.0,36.3,33.0,11.0,22.1,50.0,2.8,7.9,34.9,8.1,11.0,73.6,8.6,8.0,1.5,0.5,3.7,30.0,10.0
3,Damian Lillard,PG,54.0,36.3,32.1,9.6,20.7,46.6,4.2,11.3,37.3,8.6,9.4,91.9,4.7,7.3,0.9,0.3,3.2,15.0,2.0
4,Giannis Antetokounmpo,PF,52.0,32.5,31.2,11.0,20.5,53.9,0.8,2.9,28.0,8.3,12.7,65.4,11.9,5.5,0.7,0.8,3.9,38.0,3.0
5,Shai Gilgeous-Alexander,PG,56.0,35.6,31.2,10.3,20.2,51.0,0.9,2.6,34.2,9.7,10.7,90.6,4.8,5.7,1.7,1.1,2.9,3.0,0.0
6,Jayson Tatum,SF,62.0,37.4,30.3,9.9,21.4,46.3,3.3,9.4,35.5,7.2,8.4,85.9,8.8,4.7,1.0,0.8,3.0,27.0,1.0
7,LeBron James,SF,47.0,36.1,29.5,11.3,22.6,50.1,2.1,6.9,30.8,4.8,6.3,75.9,8.4,6.9,0.9,0.6,3.1,16.0,1.0
8,Donovan Mitchell,SG,58.0,35.6,27.7,9.7,20.4,47.8,3.7,9.5,38.7,4.6,5.2,87.4,4.1,4.7,1.5,0.4,2.7,5.0,0.0
9,Kyrie Irving,PG,51.0,37.1,27.2,9.9,20.2,49.1,3.3,8.5,38.2,4.1,4.6,89.7,5.1,5.6,1.1,0.7,2.3,5.0,0.0
10,Ja Morant,PG,53.0,32.5,27.1,9.6,20.6,46.3,1.6,5.1,31.6,6.4,8.5,74.4,6.0,8.2,1.1,0.2,3.4,19.0,6.0
11,Trae Young,PG,60.0,35.0,26.7,8.4,19.5,43.2,2.2,6.6,33.6,7.6,8.6,88.7,3.0,10.1,1.2,0.2,4.1,32.0,0.0
12,Jaylen Brown,SG,55.0,36.1,26.4,9.9,20.3,48.5,2.4,7.3,33.3,4.2,5.4,77.4,7.0,3.3,1.2,0.5,3.0,10.0,0.0
13,De'Aaron Fox,PG,58.0,34.1,25.5,9.5,18.4,51.5,1.5,4.7,32.5,5.0,6.3,78.5,4.2,6.3,1.2,0.3,2.7,10.0,0.0
14,Lauri Markkanen,PF,60.0,34.4,25.4,8.6,16.8,51.2,3.0,7.5,40.7,5.2,5.9,87.1,8.5,1.8,0.6,0.6,2.0,25.0,0.0
15,Julius Randle,PF,68.0,36.0,25.2,8.6,18.5,46.3,2.9,8.3,34.9,5.2,6.9,75.3,10.4,4.1,0.7,0.3,2.9,39.0,0.0
16,DeMar DeRozan,SF,60.0,36.2,24.9,9.1,17.7,51.0,0.5,1.6,30.5,6.3,7.3,87.2,4.5,5.1,1.0,0.5,2.2,3.0,0.0
17,Anthony Edwards,SG,68.0,36.4,24.8,9.0,19.6,45.9,2.7,7.4,36.8,4.1,5.3,77.4,5.9,4.4,1.7,0.7,3.4,7.0,0.0
18,Zach LaVine,SG,62.0,35.9,24.7,8.6,17.9,48.0,2.8,7.3,38.4,4.8,5.6,84.5,4.7,4.0,1.0,0.2,2.6,2.0,0.0
19,Nikola Jokic,C,59.0,33.7,24.5,9.3,14.8,62.9,0.9,2.2,41.1,5.0,6.1,81.6,11.8,10.0,1.2,0.6,3.6,49.0,26.0
20,Pascal Siakam,PF,58.0,37.5,24.4,8.8,18.7,47.3,1.4,4.1,34.3,5.4,6.9,77.2,7.6,5.9,0.9,0.6,2.5,17.0,2.0
21,Jalen Brunson,PG,62.0,34.9,23.8,8.5,17.4,48.7,1.9,4.7,41.4,4.9,5.9,83.3,3.6,6.1,0.9,0.2,2.0,4.0,0.0
22,Paul George,F,51.0,34.4,23.7,8.1,17.6,45.9,2.9,7.7,37.6,4.7,5.3,88.1,6.1,5.2,1.4,0.3,3.2,8.0,1.0
23,Kristaps Porzingis,C,57.0,32.9,23.2,7.7,15.5,49.5,2.2,5.6,38.8,5.7,6.7,84.3,8.5,2.6,0.8,1.5,2.2,19.0,0.0
24,Jimmy Butler,SF,53.0,33.3,22.3,7.3,13.8,52.7,0.5,1.6,33.7,7.2,8.5,84.8,6.1,5.1,1.9,0.3,1.7,9.0,0.0
25,Klay Thompson,SG,55.0,32.7,22.0,7.9,18.3,43.2,4.3,10.6,40.7,1.9,2.1,89.5,4.1,2.5,0.7,0.3,1.8,1.0,0.0
26,Darius Garland,PG,58.0,35.2,22.0,7.6,16.1,47.1,2.6,6.1,43.0,4.1,4.8,86.0,2.7,7.9,1.3,0.1,2.9,17.0,0.0
27,James Harden,SG,49.0,36.9,21.9,6.6,14.7,44.8,2.9,7.3,39.7,5.8,6.6,87.4,6.3,10.8,1.1,0.6,3.4,30.0,4.0
28,Jalen Green,SG,60.0,33.6,21.8,7.4,17.8,41.3,2.5,7.5,33.6,4.5,5.8,78.4,3.8,3.6,0.7,0.3,2.8,0.0,0.0
29,Keldon Johnson,SF,57.0,32.6,21.6,7.8,17.3,44.8,2.1,6.4,32.3,4.0,5.2,77.0,4.9,2.9,0.7,0.2,2.2,3.0,0.0
30,Bojan Bogdanovic,SF,59.0,32.1,21.6,7.3,14.9,48.8,2.5,6.0,41.1,4.5,5.1,88.4,3.8,2.6,0.6,0.1,2.3,0.0,0.0
31,Kyle Kuzma,SF,61.0,35.3,21.4,8.1,18.0,44.9,2.5,7.6,33.3,2.7,3.7,72.7,7.3,3.8,0.5,0.5,3.0,13.0,1.0
32,Terry Rozier,SG,57.0,35.7,21.3,7.9,19.0,41.3,2.7,8.1,33.0,2.9,3.6,80.8,4.2,4.9,1.1,0.3,2.1,1.0,0.0
33,Anfernee Simons,SG,58.0,35.2,21.3,7.6,16.9,45.1,3.5,9.1,38.5,2.5,2.8,90.7,2.7,4.1,0.7,0.2,2.1,0.0,0.0
34,CJ McCollum,SG,59.0,35.1,21.2,7.9,18.2,43.6,2.8,7.4,38.0,2.5,3.1,79.5,4.3,5.8,0.9,0.5,2.6,4.0,0.0
35,Bam Adebayo,C,63.0,35.0,21.1,8.3,15.3,54.3,0.0,0.2,8.3,4.4,5.5,80.7,9.4,3.3,1.2,0.8,2.5,29.0,0.0
36,Dejounte Murray,SG,62.0,36.4,20.9,8.4,18.0,46.6,2.0,5.6,36.1,2.1,2.5,84.4,5.4,6.0,1.5,0.3,2.2,7.0,1.0
37,Jordan Clarkson,PG,61.0,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4.0,81.6,4.0,4.4,0.5,0.2,3.0,3.0,0.0
38,Tyrese Haliburton,PG,54.0,33.7,20.8,7.4,15.1,48.8,2.9,7.3,40.3,3.1,3.6,86.6,3.7,10.4,1.6,0.4,2.5,31.0,0.0
39,Jerami Grant,SF,62.0,35.9,20.7,7.0,14.6,47.7,2.3,5.7,40.4,4.4,5.5,81.4,4.5,2.4,0.8,0.9,1.9,2.0,0.0
40,Jordan Poole,SG,67.0,30.8,20.7,6.9,16.0,42.8,2.6,8.0,32.6,4.3,5.0,87.1,2.8,4.6,0.8,0.2,3.2,1.0,0.0
41,Tyler Herro,PG,54.0,35.5,20.4,7.4,17.0,43.3,3.1,8.1,38.0,2.6,2.8,92.1,5.7,4.4,0.8,0.3,2.5,6.0,1.0
42,Jamal Murray,PG,53.0,32.8,20.2,7.4,16.2,45.4,2.5,6.5,38.6,2.9,3.5,82.9,4.0,6.0,1.1,0.2,2.1,4.0,1.0
43,Tyrese Maxey,PG,47.0,33.0,20.1,7.2,15.4,47.0,2.4,5.9,40.8,3.2,3.9,83.4,2.8,3.5,0.8,0.1,1.3,0.0,0.0
44,Paolo Banchero,PF,60.0,33.7,20.1,6.7,15.7,42.4,1.2,4.1,28.3,5.6,7.6,74.4,6.6,3.6,0.9,0.5,2.7,10.0,0.0
45,RJ Barrett,SG,61.0,34.2,19.8,7.0,16.3,43.0,1.8,5.5,32.1,4.0,5.4,74.4,5.2,2.8,0.5,0.2,2.2,3.0,0.0
46,Jrue Holiday,PG,54.0,32.9,19.7,7.5,15.6,47.7,2.4,6.4,38.5,2.3,2.7,86.3,5.0,7.3,1.2,0.4,2.9,13.0,0.0
47,Fred VanVleet,SG,56.0,37.0,19.1,6.2,16.0,39.0,3.0,8.8,34.1,3.6,4.1,89.9,4.3,7.0,1.7,0.6,1.9,7.0,1.0
48,Domantas Sabonis,PF,63.0,34.5,19.0,7.2,11.7,61.5,0.4,1.1,36.6,4.2,5.5,76.5,12.3,7.0,0.8,0.5,3.0,53.0,9.0
49,Franz Wagner,SF,66.0,32.9,18.9,6.8,14.1,48.6,1.7,4.6,37.3,3.4,4.1,83.8,3.8,3.4,0.9,0.2,2.1,0.0,0.0
50,Mikal Bridges,SF,68.0,36.0,18.7,6.8,14.3,47.4,2.0,4.8,40.8,3.2,3.6,89.8,4.5,3.5,1.1,0.8,1.4,2.0,0.0
